date,temp_max,temp_min,temp_mean,rainfall_mm,wind_speed,humidity_max,humidity_min,humidity_pct,city
2024-03-05,30.5,17.5,23.8,0.0,23.0,63.0,28.0,45.5,Mumbai
2024-03-06,31.0,18.3,24.4,0.0,23.7,50.0,25.0,37.5,Mumbai
2024-03-07,32.7,20.0,26.3,0.0,24.2,55.0,27.0,41.0,Mumbai
2024-03-08,35.0,21.3,27.8,0.0,27.9,45.0,18.0,31.5,Mumbai
2024-03-09,35.0,20.6,27.8,0.0,23.2,43.0,19.0,31.0,Mumbai
2024-03-10,32.8,21.0,26.8,0.0,21.1,56.0,23.0,39.5,Mumbai
2024-03-11,34.5,20.4,27.4,0.0,25.5,68.0,19.0,43.5,Mumbai
2024-03-12,34.8,21.9,28.0,0.0,22.2,64.0,21.0,42.5,Mumbai
2024-03-13,31.5,21.6,26.3,0.0,24.2,86.0,37.0,61.5,Mumbai
2024-03-14,31.0,20.8,25.5,0.0,23.9,96.0,41.0,68.5,Mumbai
2024-03-15,30.0,19.8,24.4,0.0,16.9,95.0,41.0,68.0,Mumbai
2024-03-16,30.4,19.0,24.5,0.0,20.2,99.0,43.0,71.0,Mumbai
2024-03-17,31.6,20.0,25.2,0.0,18.8,99.0,36.0,67.5,Mumbai
2024-03-18,31.5,21.9,25.9,0.0,17.6,99.0,43.0,71.0,Mumbai
2024-03-19,33.0,22.0,26.6,0.0,21.4,99.0,33.0,66.0,Mumbai
2024-03-20,38.0,21.2,29.0,0.0,22.4,48.0,9.0,28.5,Mumbai
2024-03-21,37.8,22.3,29.6,0.0,18.9,48.0,11.0,29.5,Mumbai
2024-03-22,33.8,22.0,27.2,0.0,18.0,96.0,38.0,67.0,Mumbai
2024-03-23,33.2,20.7,26.8,0.0,18.7,96.0,39.0,67.5,Mumbai
2024-03-24,31.8,21.3,26.7,0.0,18.9,97.0,51.0,74.0,Mumbai
2024-03-25,32.5,22.2,27.3,0.0,20.3,92.0,49.0,70.5,Mumbai
2024-03-26,34.2,21.1,27.5,0.0,22.2,95.0,42.0,68.5,Mumbai
2024-03-27,33.1,22.1,27.4,0.0,22.3,95.0,52.0,73.5,Mumbai
2024-03-28,33.0,22.7,27.6,0.0,18.4,96.0,50.0,73.0,Mumbai
2024-03-29,34.7,23.2,28.5,0.0,19.9,97.0,40.0,68.5,Mumbai
2024-03-30,34.2,23.5,28.4,0.0,24.0,86.0,40.0,63.0,Mumbai
2024-03-31,34.0,23.6,28.9,0.0,24.0,70.0,41.0,55.5,Mumbai
2024-04-01,33.8,24.4,28.3,0.0,20.0,87.0,41.0,64.0,Mumbai
2024-04-02,33.2,21.3,27.3,0.0,19.0,94.0,48.0,71.0,Mumbai
2024-04-03,33.4,21.5,27.1,0.0,20.6,94.0,35.0,64.5,Mumbai
2024-04-04,32.9,22.1,27.6,0.0,21.4,95.0,45.0,70.0,Mumbai
2024-04-05,35.4,23.1,29.2,0.0,26.7,92.0,30.0,61.0,Mumbai
2024-04-06,36.8,25.8,31.0,0.0,28.4,68.0,25.0,46.5,Mumbai
2024-04-07,36.5,25.8,30.0,0.0,26.0,69.0,14.0,41.5,Mumbai
2024-04-08,33.3,21.9,27.7,0.0,19.8,90.0,46.0,68.0,Mumbai
2024-04-09,34.2,21.7,27.7,0.0,19.0,95.0,36.0,65.5,Mumbai
2024-04-10,33.3,23.2,27.6,0.0,20.2,99.0,44.0,71.5,Mumbai
2024-04-11,33.5,22.6,27.8,0.0,18.8,97.0,35.0,66.0,Mumbai
2024-04-12,33.8,23.1,27.7,0.0,17.6,92.0,27.0,59.5,Mumbai
2024-04-13,31.5,22.5,26.7,0.0,17.7,93.0,43.0,68.0,Mumbai
2024-04-14,32.6,21.6,27.3,0.0,23.8,94.0,56.0,75.0,Mumbai
2024-04-15,36.3,24.4,31.0,0.0,21.7,95.0,45.0,70.0,Mumbai
2024-04-16,41.3,27.8,34.0,0.0,21.6,80.0,23.0,51.5,Mumbai
2024-04-17,33.8,27.9,30.8,0.0,18.2,92.0,33.0,62.5,Mumbai
2024-04-18,34.3,27.0,30.5,0.0,21.3,96.0,50.0,73.0,Mumbai
2024-04-19,35.7,26.5,30.9,0.0,26.7,86.0,39.0,62.5,Mumbai
2024-04-20,35.7,26.1,30.5,0.0,27.0,79.0,33.0,56.0,Mumbai
2024-04-21,34.0,24.3,29.6,0.0,26.0,88.0,37.0,62.5,Mumbai
2024-04-22,34.2,25.8,29.7,0.0,24.4,88.0,38.0,63.0,Mumbai
2024-04-23,34.3,24.2,29.2,0.0,23.5,94.0,39.0,66.5,Mumbai
2024-04-24,33.8,23.8,29.0,0.0,22.3,91.0,50.0,70.5,Mumbai
2024-04-25,34.3,24.6,29.4,0.0,25.5,93.0,39.0,66.0,Mumbai
2024-04-26,35.2,25.7,30.1,0.0,22.1,87.0,41.0,64.0,Mumbai
2024-04-27,36.1,26.0,31.0,0.0,23.4,87.0,37.0,62.0,Mumbai
2024-04-28,39.3,27.0,33.0,0.0,27.2,68.0,28.0,48.0,Mumbai
2024-04-29,38.2,26.8,32.6,0.0,26.6,65.0,23.0,44.0,Mumbai
2024-04-30,37.6,25.8,31.8,0.0,27.0,83.0,30.0,56.5,Mumbai
2024-05-01,34.5,25.0,29.5,0.0,20.0,89.0,34.0,61.5,Mumbai
2024-05-02,33.4,24.2,28.7,0.0,20.5,95.0,41.0,68.0,Mumbai
2024-05-03,33.2,23.2,28.0,0.0,20.2,96.0,49.0,72.5,Mumbai
2024-05-04,33.2,24.0,28.8,0.0,21.9,98.0,57.0,77.5,Mumbai
2024-05-05,34.7,24.9,29.8,0.0,23.5,96.0,48.0,72.0,Mumbai
2024-05-06,33.2,25.5,29.2,0.0,20.7,98.0,53.0,75.5,Mumbai
2024-05-07,33.3,25.5,29.3,0.0,20.4,95.0,56.0,75.5,Mumbai
2024-05-08,33.0,26.5,29.6,0.0,24.4,87.0,54.0,70.5,Mumbai
2024-05-09,32.8,26.2,29.6,0.0,20.3,93.0,57.0,75.0,Mumbai
2024-05-10,33.2,26.1,29.5,0.0,19.9,93.0,57.0,75.0,Mumbai
2024-05-11,33.5,26.3,29.7,0.0,23.9,96.0,54.0,75.0,Mumbai
2024-05-12,33.8,27.1,30.3,0.0,22.4,93.0,53.0,73.0,Mumbai
2024-05-13,34.8,27.5,30.4,1.8,22.5,93.0,55.0,74.0,Mumbai
2024-05-14,37.5,27.5,31.3,0.0,23.7,80.0,35.0,57.5,Mumbai
2024-05-15,36.0,26.7,31.3,0.0,21.1,88.0,47.0,67.5,Mumbai
2024-05-16,38.9,27.1,32.3,0.1,18.1,95.0,29.0,62.0,Mumbai
2024-05-17,36.2,28.3,31.5,0.0,17.3,89.0,41.0,65.0,Mumbai
2024-05-18,34.7,27.6,31.1,0.0,17.3,95.0,56.0,75.5,Mumbai
2024-05-19,34.1,26.5,30.8,5.6,19.3,93.0,59.0,76.0,Mumbai
2024-05-20,35.1,29.1,31.5,0.0,21.2,87.0,55.0,71.0,Mumbai
2024-05-21,35.3,28.5,31.7,0.1,21.9,90.0,51.0,70.5,Mumbai
2024-05-22,34.5,28.9,31.4,0.3,18.7,89.0,61.0,75.0,Mumbai
2024-05-23,34.2,28.0,31.0,0.0,24.2,95.0,62.0,78.5,Mumbai
2024-05-24,34.7,28.1,30.9,0.2,18.4,91.0,52.0,71.5,Mumbai
2024-05-25,33.7,28.5,30.8,0.7,19.4,86.0,58.0,72.0,Mumbai
2024-05-26,33.4,29.0,31.1,0.5,21.3,80.0,57.0,68.5,Mumbai
2024-05-27,33.5,29.2,30.8,0.5,21.3,81.0,58.0,69.5,Mumbai
2024-05-28,33.7,28.9,31.1,0.6,21.3,81.0,56.0,68.5,Mumbai
2024-05-29,34.0,29.1,31.4,0.4,23.4,75.0,52.0,63.5,Mumbai
2024-05-30,34.5,29.0,31.6,0.2,19.2,87.0,51.0,69.0,Mumbai
2024-05-31,34.3,28.0,30.7,0.6,19.5,95.0,57.0,76.0,Mumbai
2024-06-01,34.0,27.5,30.9,0.8,18.7,94.0,56.0,75.0,Mumbai
2024-06-02,34.5,28.0,31.2,0.3,17.9,86.0,53.0,69.5,Mumbai
2024-06-03,34.2,28.6,31.5,0.7,15.5,85.0,58.0,71.5,Mumbai
2024-06-04,33.5,27.8,30.0,4.8,15.9,91.0,61.0,76.0,Mumbai
2024-06-05,33.8,26.5,29.5,6.7,16.5,93.0,58.0,75.5,Mumbai
2024-06-06,34.1,26.5,29.8,1.2,17.3,92.0,57.0,74.5,Mumbai
2024-06-07,33.5,28.0,30.4,1.1,18.0,88.0,56.0,72.0,Mumbai
2024-06-08,34.3,26.5,29.9,6.3,20.0,93.0,51.0,72.0,Mumbai
2024-06-09,31.6,26.0,28.7,23.0,13.6,93.0,68.0,80.5,Mumbai
